"","Campus","StudyField","Branch","Role","EduLevel","ProgLang","Databases","Platform","WebFramework","Industry","AISearch","AIToolCurrently Using","Employment","Employed"
"11","Mbombela Campus","Computer Science","I am a developer by profession","Developer, full-stack","Something else","Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Kotlin;Lua;Objective-C;PHP;SQL;Swift;TypeScript","BigQuery;MariaDB;MongoDB;MySQL;Redis","Firebase;Hetzner;Managed Hosting;Vercel","AngularJS;Express;jQuery;Laravel;Next.js;Node.js;Qwik;React;Remix;Spring Boot;Symfony;Vue.js;WordPress","Information Services, IT, Software Development, or other Technology","Bing AI;ChatGPT;WolframAlpha;You.com","Learning about a codebase;Writing code;Documenting code;Debugging and getting help","Employed, full-time;Independent contractor, freelancer, or self-employed","Employed"
"12","Mbombela Campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","JavaScript;Python;Rust;Solidity;SQL;TypeScript","Dynamodb;Elasticsearch;MongoDB;PostgreSQL;Redis;SQLite;Supabase","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Netlify;VMware","Django;Express;FastAPI;Flask;React","Information Services, IT, Software Development, or other Technology","ChatGPT;Google Bard AI","Debugging and getting help","Employed, full-time;Independent contractor, freelancer, or self-employed","Employed"
"13","Durban Campus","Data Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Dart;HTML/CSS;JavaScript;PHP;SQL;TypeScript","MariaDB;MongoDB;MySQL;PostgreSQL;Redis","Amazon Web Services (AWS);Digital Ocean;Google Cloud;Netlify;Vercel","Express;Node.js","Information Services, IT, Software Development, or other Technology","ChatGPT","Learning about a codebase;Project planning;Writing code","Employed, full-time;Independent contractor, freelancer, or self-employed","Employed"
"14","Pretoria Campus","IT","I am a developer by profession","Engineering manager","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;Dart;Java;JavaScript;Kotlin;Ruby;SQL;Swift;TypeScript","InfluxDB;Microsoft SQL Server;MongoDB;PostgreSQL;RavenDB;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Microsoft Azure","ASP.NET CORE;Blazor;NestJS;Node.js;React","Information Services, IT, Software Development, or other Technology","Bing AI;ChatGPT;Phind","Writing code;Documenting code;Testing code;Committing and reviewing code","Employed, full-time;Independent contractor, freelancer, or self-employed","Employed"
"15","Mbombela Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","PHP","MySQL","Cloudflare","Blazor;Elm","Healthcare","ChatGPT","Learning about a codebase;Project planning;Committing and reviewing code","Independent contractor, freelancer, or self-employed","Unemployed"
"16","Pretoria Campus","IT","I am a developer by profession","Developer, back-end","Some college/university study without earning a degree","Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Lua;Python;Rust;TypeScript","Cloud Firestore;MongoDB;MySQL;PostgreSQL;Redis","Amazon Web Services (AWS);Digital Ocean;Firebase;Netlify;Vercel","Next.js;React","Information Services, IT, Software Development, or other Technology","ChatGPT;You.com","Learning about a codebase;Other (please describe)","Employed, full-time;Independent contractor, freelancer, or self-employed","Employed"
"17","Nelson Mandela Bay Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;Java;JavaScript;PHP;PowerShell;SQL;TypeScript","Elasticsearch;Microsoft SQL Server;MySQL;Redis","Microsoft Azure;Netlify;OpenShift;Vercel;VMware","ASP.NET;ASP.NET CORE;Blazor;Express;jQuery;Next.js;Node.js;React;Spring Boot;Svelte;Vue.js","Information Services, IT, Software Development, or other Technology","ChatGPT","Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Testing code","Employed, full-time","Employed"
"18","Pretoria Campus","Computer Science","I am a developer by profession","Developer, back-end","Associate degree (A.A., A.S., etc.)","C#;Java;JavaScript;Python","Cosmos DB;Microsoft SQL Server","Microsoft Azure","ASP.NET CORE","Information Services, IT, Software Development, or other Technology","ChatGPT","Learning about a codebase;Writing code;Documenting code;Testing code;Committing and reviewing code","Employed, full-time","Employed"
"19","Pretoria Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript","PostgreSQL","Digital Ocean;Google Cloud","Angular;Django;Node.js;Spring Boot","Information Services, IT, Software Development, or other Technology","Bing AI;ChatGPT","Writing code;Debugging and getting help","Employed, full-time;Independent contractor, freelancer, or self-employed","Employed"
"20","Mbombela Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;SQL","Cosmos DB;Microsoft SQL Server","Microsoft Azure","ASP.NET CORE;Blazor","Information Services, IT, Software Development, or other Technology","Bing AI;ChatGPT","Writing code","Employed, full-time","Employed"
"21","Mbombela Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;PHP;SQL;TypeScript","Elasticsearch;PostgreSQL","Digital Ocean","Express;Node.js;Nuxt.js;Symfony;Vue.js","Retail and Consumer Services","ChatGPT","Writing code;Debugging and getting help;Testing code","Independent contractor, freelancer, or self-employed","Unemployed"
"22","Nelson Mandela Bay Campus","IT","I am a developer by profession","Blockchain","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;C++","MongoDB;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Cloudflare","Django;Flask","Information Services, IT, Software Development, or other Technology","Andi","Learning about a codebase;Project planning;Writing code","Employed, full-time","Employed"
"23","Pretoria Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;Rust;SQL;TypeScript","InfluxDB;Microsoft SQL Server;MySQL;PostgreSQL","Cloudflare;Hetzner","Express;Fastify;Next.js;Node.js;React;Symfony","Retail and Consumer Services","ChatGPT","Writing code;Documenting code","Employed, full-time","Employed"
"24","Durban Campus","Data Science","I am a developer by profession","Developer, full-stack","Something else","Assembly;Bash/Shell (all shells);C;C#;C++;Crystal;Dart;Delphi;F#;Fortran;Go;HTML/CSS;Java;JavaScript;Kotlin;Lisp;Lua;MATLAB;PHP;Rust;SQL;TypeScript;VBA;Visual Basic (.Net)","Cosmos DB;Microsoft Access;Microsoft SQL Server;MongoDB;PostgreSQL;SQLite","Amazon Web Services (AWS);Microsoft Azure","Angular;AngularJS;ASP.NET;ASP.NET CORE;jQuery;Node.js","Manufacturing, Transportation, or Supply Chain","ChatGPT","Learning about a codebase;Writing code","Employed, full-time","Employed"
"25","East London Campus","Computer Science","I am a developer by profession","Engineering manager","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","PHP","MySQL","Amazon Web Services (AWS)","Laravel","Manufacturing, Transportation, or Supply Chain","ChatGPT","Writing code","Employed, full-time","Employed"
"26","East London Campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;Python;SQL","PostgreSQL;Redis","Amazon Web Services (AWS);Heroku;Netlify","Django;jQuery;Vue.js","Information Services, IT, Software Development, or other Technology","ChatGPT","Writing code;Debugging and getting help;Committing and reviewing code","Employed, full-time","Employed"
"27","Durban Campus","IT","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;JavaScript;PHP;TypeScript","MongoDB;MySQL","Amazon Web Services (AWS)","Angular;CodeIgniter;jQuery;Node.js","Information Services, IT, Software Development, or other Technology","ChatGPT","Learning about a codebase;Writing code","Employed, full-time","Employed"
"28","Mbombela Campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;Groovy;Java;PowerShell;TypeScript","Cosmos DB;Elasticsearch;Microsoft SQL Server;MongoDB;PostgreSQL","Microsoft Azure","Angular;ASP.NET;ASP.NET CORE;React;Spring Boot","Financial Services","ChatGPT","Writing code;Debugging and getting help;Other (please describe)","Employed, full-time","Employed"
"29","Pretoria Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript","Firebase Realtime Database;MariaDB;Microsoft SQL Server;MySQL","Firebase","Angular;CodeIgniter;jQuery;Node.js;Spring Boot","Financial Services","Bing AI;ChatGPT;Perplexity AI","Writing code;Documenting code;Debugging and getting help","Employed, full-time","Employed"
"30","Mbombela Campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;C#;C++;Dart;HTML/CSS;Java;JavaScript;Kotlin;Lua;Python;TypeScript","Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Digital Ocean;Firebase;Google Cloud;Heroku;Vercel","Angular;AngularJS;Django;Express;jQuery;NestJS;Next.js;Node.js;React;Remix","Information Services, IT, Software Development, or other Technology","ChatGPT","Learning about a codebase;Project planning;Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Collaborating with teammates","Employed, full-time","Employed"
"31","Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, back-end","Something else","Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;Ruby;SQL","MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite","Cloudflare;Digital Ocean;Google Cloud;Hetzner;Netlify;Render","Django;FastAPI;Flask;jQuery;WordPress","Information Services, IT, Software Development, or other Technology","ChatGPT","Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code","Employed, full-time","Employed"
"32","Nelson Mandela Bay Campus","IT","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C;C#;C++;Delphi;Java;JavaScript;PHP;PowerShell;SQL;TypeScript;Visual Basic (.Net)","Elasticsearch;MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite","Cloudflare;Microsoft Azure;VMware","Angular;ASP.NET CORE;React","Manufacturing, Transportation, or Supply Chain","ChatGPT;Google Bard AI","Learning about a codebase;Deployment and monitoring","Employed, full-time;Independent contractor, freelancer, or self-employed","Employed"
"33","Durban Campus","Data Science","I am a developer by profession","Engineering manager","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;Python;SQL;TypeScript","MariaDB;MySQL;PostgreSQL","Amazon Web Services (AWS)","Angular;CodeIgniter;Node.js","Healthcare","Bing AI;ChatGPT","Learning about a codebase;Project planning;Writing code;Documenting code;Debugging and getting help;Testing code","Employed, full-time","Employed"
"34","Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Data scientist or machine learning specialist","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);Java;JavaScript;PowerShell;Python;Scala;SQL","MariaDB;MongoDB;MySQL;PostgreSQL;Snowflake;SQLite","Amazon Web Services (AWS);Google Cloud;Microsoft Azure","FastAPI;NestJS;Node.js;Vue.js","Information Services, IT, Software Development, or other Technology","ChatGPT","Writing code;Documenting code;Debugging and getting help","Employed, full-time","Employed"
"35","Pretoria Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Go;HTML/CSS;JavaScript;PHP;SQL","Microsoft SQL Server;MySQL","Digital Ocean","jQuery","Financial Services","Bing AI;ChatGPT","Other (please describe)","Employed, full-time","Employed"
"36","Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;Kotlin;PHP;TypeScript","IBM DB2;MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Microsoft Azure","ASP.NET CORE;Blazor;Nuxt.js;Vue.js","Information Services, IT, Software Development, or other Technology","ChatGPT;WolframAlpha","Writing code;Debugging and getting help","Employed, full-time","Employed"
"37","Durban Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;C++;F#;Go;JavaScript;Kotlin;MATLAB;PowerShell;Python;R;Rust;SQL;TypeScript","Cassandra;Clickhouse;Cloud Firestore;Cosmos DB;Dynamodb;MariaDB;MongoDB;MySQL;Redis","Amazon Web Services (AWS);Fly.io;Microsoft Azure;Vercel","Angular;AngularJS;Blazor;NestJS;Next.js;Node.js;React","Information Services, IT, Software Development, or other Technology","ChatGPT","Writing code;Debugging and getting help;Testing code;Committing and reviewing code","Employed, full-time","Employed"
"38","East London Campus","IT","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;JavaScript;PowerShell;SQL","Clickhouse;Cosmos DB;Elasticsearch;InfluxDB;MariaDB;PostgreSQL","Cloudflare;Digital Ocean;Hetzner;Microsoft Azure","ASP.NET CORE;Svelte","Information Services, IT, Software Development, or other Technology","Bing AI;ChatGPT;WolframAlpha","Learning about a codebase;Writing code;Documenting code;Debugging and getting help","Employed, full-time","Employed"
"39","Mbombela Campus","Computer Science","I am a developer by profession","Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","C#;Dart;JavaScript;PHP;Python;SQL;TypeScript","MySQL","Amazon Web Services (AWS)","Node.js;Vue.js","Information Services, IT, Software Development, or other Technology","ChatGPT","Writing code;Debugging and getting help","Employed, full-time","Employed"
"40","Mbombela Campus","Data Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Go;HTML/CSS;Java;JavaScript;SQL","Elasticsearch;H2;Microsoft SQL Server;MongoDB;PostgreSQL;Redis","Amazon Web Services (AWS);OpenStack","Angular;jQuery;Spring Boot","Information Services, IT, Software Development, or other Technology","ChatGPT","Writing code;Debugging and getting help;Testing code","Employed, full-time","Employed"
"41","Nelson Mandela Bay Campus","Data Science","I am a developer by profession","Developer Advocate","Some college/university study without earning a degree","Bash/Shell (all shells);C;C++;Elixir;Erlang;Go;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;R;Ruby;Rust;SQL;Swift;TypeScript;Visual Basic (.Net)","Cassandra;Clickhouse;Cockroachdb;Couch DB;Elasticsearch;IBM DB2;InfluxDB;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Heroku;IBM Cloud Or Watson;Linode, now Akamai;Microsoft Azure;Netlify;OpenShift","Express;FastAPI;jQuery;Laravel;NestJS;Next.js;Node.js;Phoenix","Information Services, IT, Software Development, or other Technology","ChatGPT","Learning about a codebase;Project planning;Writing code;Documenting code;Debugging and getting help","Employed, full-time","Employed"
"42","Mbombela Campus","IT","I am a developer by profession","System administrator","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C;C#;Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript","Elasticsearch;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Microsoft Azure;Netlify","AngularJS;Django;Express;NestJS;Node.js;Svelte","Healthcare","ChatGPT","Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Testing code","Employed, full-time","Employed"
"43","Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript","PostgreSQL;Redis","Hetzner;Netlify;Vercel","Django;Next.js;Node.js;React","Retail and Consumer Services","ChatGPT","Project planning","Independent contractor, freelancer, or self-employed","Unemployed"
"44","Nelson Mandela Bay Campus","Data Science","I am a developer by profession","Developer, full-stack","Associate degree (A.A., A.S., etc.)","C;C++;HTML/CSS;JavaScript;Lua;PHP;PowerShell;SQL;Visual Basic (.Net)","MariaDB;Microsoft SQL Server;MongoDB","Digital Ocean;Linode, now Akamai;OVH;VMware","Express;Node.js","Information Services, IT, Software Development, or other Technology","ChatGPT","Writing code","Employed, full-time;Independent contractor, freelancer, or self-employed","Employed"
"45","Mbombela Campus","Data Science","I am a developer by profession","Developer, full-stack","Associate degree (A.A., A.S., etc.)","C#;Java;SQL","Microsoft SQL Server","Google Cloud","ASP.NET;ASP.NET CORE;React","Information Services, IT, Software Development, or other Technology","ChatGPT","Writing code;Debugging and getting help;Testing code","Employed, full-time","Employed"
"46","East London Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python","MySQL;SQLite","Amazon Web Services (AWS)","ASP.NET CORE;Blazor;Django;Flask;jQuery","Manufacturing, Transportation, or Supply Chain","ChatGPT","Learning about a codebase;Documenting code;Debugging and getting help","Employed, full-time","Employed"
"47","East London Campus","Data Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Crystal;HTML/CSS;JavaScript;Lua;Python;Ruby","Dynamodb;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Digital Ocean;Vultr","jQuery;Ruby on Rails","Information Services, IT, Software Development, or other Technology","ChatGPT;Phind;You.com","Project planning;Debugging and getting help;Committing and reviewing code","Independent contractor, freelancer, or self-employed","Unemployed"
"48","East London Campus","IT","I am a developer by profession","Developer, QA or test","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Dart;Java;Perl;Python;SQL","PostgreSQL","VMware","FastAPI;Spring Boot","Healthcare","ChatGPT","Learning about a codebase;Documenting code;Debugging and getting help","Employed, full-time","Employed"
"49","Durban Campus","Computer Science","I am a developer by profession","Developer, mobile","Associate degree (A.A., A.S., etc.)","C#;C++;HTML/CSS;Java;JavaScript;MATLAB;PowerShell;SQL","MySQL;SQLite","Microsoft Azure","Angular;ASP.NET CORE","Healthcare","ChatGPT","Writing code","Employed, full-time;Student, part-time","Employed"
"50","East London Campus","Data Science","I am a developer by profession","Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;Julia;Ruby;SQL;TypeScript","Elasticsearch;MariaDB;MongoDB;PostgreSQL;Redis;Supabase","Vercel","Express;Fastify;jQuery;Next.js;Node.js;React;Ruby on Rails","Information Services, IT, Software Development, or other Technology","Phind","Writing code","Employed, full-time","Employed"
"51","Mbombela Campus","Computer Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;Java;JavaScript;Python;Scala;SQL;TypeScript","H2;Microsoft SQL Server;MongoDB;MySQL","Amazon Web Services (AWS);Hetzner;OVH;VMware","jQuery;Node.js;Play Framework","Healthcare","Bing AI","Debugging and getting help","Employed, full-time;Student, part-time","Employed"
"52","Nelson Mandela Bay Campus","IT","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C#;F#;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript","SQLite","Amazon Web Services (AWS)","Deno;NestJS;Node.js;React;Svelte","Information Services, IT, Software Development, or other Technology","ChatGPT","Project planning;Writing code;Documenting code;Debugging and getting help","Employed, full-time;Independent contractor, freelancer, or self-employed","Employed"
"53","Pretoria Campus","Data Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","Bash/Shell (all shells);C++;HTML/CSS;Java;JavaScript;Solidity;SQL;TypeScript","PostgreSQL;Redis","Amazon Web Services (AWS);Heroku;Managed Hosting;Vercel","Express;Next.js;Node.js;React;Spring Boot","Legal Services","ChatGPT;WolframAlpha","Project planning;Writing code;Documenting code;Debugging and getting help","Employed, full-time;Student, full-time","Employed"
"54","Durban Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;PHP","MariaDB;MySQL;SQLite","Amazon Web Services (AWS);Cloudflare;Digital Ocean","Laravel;React;Vue.js;WordPress","Information Services, IT, Software Development, or other Technology","ChatGPT","Writing code;Documenting code;Debugging and getting help","Employed, full-time;Independent contractor, freelancer, or self-employed","Employed"
"55","Durban Campus","IT","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);HTML/CSS;Java;JavaScript;SQL;TypeScript","Cloud Firestore;Elasticsearch;Microsoft SQL Server;MySQL;PostgreSQL;SQLite;Supabase","Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;Heroku;Hetzner;Microsoft Azure;Vercel","Express;jQuery;Next.js;Node.js;React;Svelte;WordPress","Information Services, IT, Software Development, or other Technology","ChatGPT","Learning about a codebase;Debugging and getting help","Employed, full-time","Employed"
"56","Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Other (please specify):","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","C#;Python","Microsoft Access;Microsoft SQL Server;MySQL;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Microsoft Azure","ASP.NET;ASP.NET CORE;jQuery","Financial Services","ChatGPT","Writing code","Employed, full-time","Employed"
"57","Durban Campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Dart;HTML/CSS;JavaScript;PHP;SQL","Firebase Realtime Database;MariaDB;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Firebase","CodeIgniter;jQuery;Laravel;React","Information Services, IT, Software Development, or other Technology","ChatGPT","Learning about a codebase;Writing code;Documenting code;Debugging and getting help","Employed, full-time","Employed"
"58","Durban Campus","IT","I am not primarily a developer, but I write code sometimes as part of my work/studies","Academic researcher","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;Rust","MongoDB;Neo4J;SQLite","Digital Ocean;Firebase;Heroku","Angular;Express;FastAPI;Flask;Node.js;React;Svelte","Higher Education","ChatGPT;WolframAlpha","Writing code;Documenting code;Debugging and getting help","Employed, full-time;Independent contractor, freelancer, or self-employed","Employed"
